#{"t_start": 1705386979.1042128, "env_id": "None"}
r,l,t
13.0,13,0.328557
21.0,21,0.335556
21.0,21,0.335556
21.0,21,0.335556
23.0,23,0.337556
24.0,24,0.338557
13.0,13,0.340868
28.0,28,0.342869
11.0,11,0.34587
15.0,15,0.349868
39.0,39,0.35287
22.0,22,0.356869
16.0,16,0.356869
21.0,21,0.35787
25.0,25,0.36087
19.0,19,0.363869
16.0,16,0.364869
28.0,28,0.36587
17.0,17,0.367867
15.0,15,0.371867
18.0,18,0.371867
12.0,12,0.373867
12.0,12,0.375867
20.0,20,0.377867
18.0,18,0.379865
15.0,15,0.380866
12.0,12,0.381866
15.0,15,0.387865
11.0,11,0.388866
40.0,40,0.393865
24.0,24,0.394865
15.0,15,0.395865
14.0,14,0.395865
17.0,17,0.403864
29.0,29,0.406864
17.0,17,0.408864
20.0,20,0.413867
41.0,41,0.413867
22.0,22,0.413867
11.0,11,0.418867
13.0,13,0.425874
9.0,9,0.426874
25.0,25,0.430873
19.0,19,0.431874
43.0,43,0.434873
15.0,15,0.439386
11.0,11,0.440387
57.0,57,0.440387
31.0,31,0.442387
18.0,18,0.443386
14.0,14,0.446384
50.0,50,0.448384
23.0,23,0.449384
12.0,12,0.450384
13.0,13,0.453383
12.0,12,0.453383
15.0,15,0.453383
27.0,27,0.463385
19.0,19,0.466386
23.0,23,0.466386
29.0,29,0.472384
25.0,25,0.474384
16.0,16,0.480383
36.0,36,0.485384
24.0,24,0.488384
45.0,45,0.490384
22.0,22,0.494387
47.0,47,0.496385
23.0,23,0.497387
36.0,36,0.497387
25.0,25,0.505385
12.0,12,0.506387
22.0,22,0.511384
16.0,16,0.511384
17.0,17,0.513384
18.0,18,0.514384
27.0,27,0.514384
31.0,31,0.515383
13.0,13,0.517384
16.0,16,0.521384
9.0,9,0.522384
12.0,12,0.523384
13.0,13,0.524387
11.0,11,0.527387
14.0,14,0.528387
17.0,17,0.530387
17.0,17,0.530387
10.0,10,0.532387
15.0,15,0.536387
13.0,13,0.541899
17.0,17,0.546898
15.0,15,0.549898
24.0,24,0.554896
31.0,31,0.556896
15.0,15,0.559896
32.0,32,0.559896
43.0,43,0.560896
14.0,14,0.566896
31.0,31,0.567898
18.0,18,0.5739
55.0,55,0.5749
15.0,15,0.5749
18.0,18,0.5769
15.0,15,0.5819
12.0,12,0.586899
40.0,40,0.587897
25.0,25,0.592899
38.0,38,0.595899
14.0,14,0.599897
19.0,19,0.599897
29.0,29,0.601896
28.0,28,0.601896
15.0,15,0.601896
12.0,12,0.603898
33.0,33,0.608899
13.0,13,0.613899
12.0,12,0.614899
20.0,20,0.616899
15.0,15,0.617899
19.0,19,0.621898
19.0,19,0.623902
14.0,14,0.623902
15.0,15,0.631903
14.0,14,0.631903
9.0,9,0.632903
37.0,37,0.638407
24.0,24,0.638407
17.0,17,0.639413
16.0,16,0.645414
14.0,14,0.649413
17.0,17,0.653414
41.0,41,0.654414
18.0,18,0.655414
35.0,35,0.657414
15.0,15,0.660413
33.0,33,0.662414
14.0,14,0.664414
11.0,11,0.665414
15.0,15,0.666416
20.0,20,0.667416
42.0,42,0.669414
22.0,22,0.673414
12.0,12,0.675414
17.0,17,0.683414
23.0,23,0.685414
30.0,30,0.687415
26.0,26,0.687415
25.0,25,0.693414
43.0,43,0.695414
11.0,11,0.696414
14.0,14,0.697414
37.0,37,0.698414
14.0,14,0.698414
22.0,22,0.701413
12.0,12,0.704413
11.0,11,0.706413
9.0,9,0.713413
11.0,11,0.713413
18.0,18,0.713413
10.0,10,0.723411
29.0,29,0.723411
14.0,14,0.727415
30.0,30,0.729415
65.0,65,0.732416
43.0,43,0.734417
12.0,12,0.734417
14.0,14,0.736418
10.0,10,0.744459
37.0,37,0.747459
25.0,25,0.749459
23.0,23,0.752459
20.0,20,0.752459
64.0,64,0.757459
26.0,26,0.758459
15.0,15,0.759459
19.0,19,0.768458
12.0,12,0.772458
23.0,23,0.772458
20.0,20,0.777459
28.0,28,0.78046
28.0,28,0.78046
55.0,55,0.781459
23.0,23,0.781459
13.0,13,0.784459
19.0,19,0.78546
10.0,10,0.79346
17.0,17,0.79346
15.0,15,0.79546
25.0,25,0.79646
21.0,21,0.799459
25.0,25,0.803459
27.0,27,0.804459
18.0,18,0.80946
11.0,11,0.81446
11.0,11,0.81546
36.0,36,0.81846
26.0,26,0.81946
9.0,9,0.824467
31.0,31,0.825468
16.0,16,0.825468
18.0,18,0.832467
41.0,41,0.832467
15.0,15,0.833467
38.0,38,0.836467
12.0,12,0.837468
18.0,18,0.842985
25.0,25,0.843985
