#{"t_start": 1705387259.651885, "env_id": "None"}
r,l,t
12.0,12,0.353565
14.0,14,0.355565
15.0,15,0.357567
18.0,18,0.360568
18.0,18,0.360568
19.0,19,0.361567
21.0,21,0.363566
26.0,26,0.368567
16.0,16,0.372568
20.0,20,0.373567
17.0,17,0.376568
19.0,19,0.378567
27.0,27,0.382567
22.0,22,0.389568
19.0,19,0.394565
40.0,40,0.399565
28.0,28,0.400565
14.0,14,0.402565
31.0,31,0.402565
24.0,24,0.405565
14.0,14,0.408568
36.0,36,0.413571
16.0,16,0.41457
18.0,18,0.41957
60.0,60,0.41957
14.0,14,0.420569
24.0,24,0.423081
27.0,27,0.430081
11.0,11,0.433081
14.0,14,0.433081
24.0,24,0.435081
19.0,19,0.437082
28.0,28,0.440081
11.0,11,0.440081
43.0,43,0.441081
16.0,16,0.447082
16.0,16,0.44908
39.0,39,0.456082
20.0,20,0.458082
28.0,28,0.458082
18.0,18,0.458082
16.0,16,0.46508
34.0,34,0.468081
12.0,12,0.470081
18.0,18,0.47508
45.0,45,0.482079
29.0,29,0.484079
18.0,18,0.485079
29.0,29,0.486079
23.0,23,0.486079
20.0,20,0.489079
49.0,49,0.494089
18.0,18,0.500082
26.0,26,0.501082
12.0,12,0.501082
17.0,17,0.503082
22.0,22,0.506082
10.0,10,0.515088
32.0,32,0.516088
18.0,18,0.517088
18.0,18,0.519088
21.0,21,0.520088
37.0,37,0.520088
29.0,29,0.521088
19.0,19,0.530597
15.0,15,0.533597
21.0,21,0.537597
25.0,25,0.541599
27.0,27,0.542599
11.0,11,0.543598
14.0,14,0.543598
54.0,54,0.548598
39.0,39,0.552597
41.0,41,0.553597
20.0,20,0.557595
14.0,14,0.561596
13.0,13,0.564595
15.0,15,0.573595
34.0,34,0.576596
11.0,11,0.577595
29.0,29,0.582595
20.0,20,0.582595
10.0,10,0.582595
43.0,43,0.586595
45.0,45,0.587595
13.0,13,0.595596
21.0,21,0.596596
20.0,20,0.596596
17.0,17,0.599595
19.0,19,0.601595
19.0,19,0.605598
12.0,12,0.6076
9.0,9,0.608601
30.0,30,0.6176
12.0,12,0.620601
78.0,78,0.622106
21.0,21,0.627111
19.0,19,0.627111
31.0,31,0.628111
13.0,13,0.631111
10.0,10,0.631111
36.0,36,0.63711
15.0,15,0.64211
17.0,17,0.64311
19.0,19,0.64411
17.0,17,0.64611
19.0,19,0.64811
13.0,13,0.654112
11.0,11,0.654112
14.0,14,0.660113
20.0,20,0.664113
14.0,14,0.666113
75.0,75,0.667113
18.0,18,0.669111
55.0,55,0.671113
41.0,41,0.672111
19.0,19,0.676112
13.0,13,0.677112
9.0,9,0.683112
21.0,21,0.685111
17.0,17,0.686113
51.0,51,0.687113
29.0,29,0.689113
13.0,13,0.690112
21.0,21,0.692113
11.0,11,0.694113
28.0,28,0.694113
12.0,12,0.699112
20.0,20,0.702111
19.0,19,0.703112
19.0,19,0.707111
25.0,25,0.709114
19.0,19,0.709114
17.0,17,0.710114
18.0,18,0.710114
10.0,10,0.711114
15.0,15,0.720116
13.0,13,0.723626
25.0,25,0.726627
30.0,30,0.727627
23.0,23,0.729626
10.0,10,0.734623
28.0,28,0.735623
34.0,34,0.739624
24.0,24,0.740624
13.0,13,0.744623
42.0,42,0.744623
25.0,25,0.747626
16.0,16,0.754626
12.0,12,0.755626
12.0,12,0.757626
41.0,41,0.757626
37.0,37,0.760626
31.0,31,0.761626
32.0,32,0.766629
12.0,12,0.772626
9.0,9,0.775629
17.0,17,0.775629
21.0,21,0.776629
24.0,24,0.77963
29.0,29,0.78163
31.0,31,0.782627
46.0,46,0.785626
12.0,12,0.786629
17.0,17,0.78763
13.0,13,0.791625
19.0,19,0.792627
13.0,13,0.793627
18.0,18,0.800627
15.0,15,0.802626
11.0,11,0.804626
12.0,12,0.804626
18.0,18,0.805627
21.0,21,0.806625
12.0,12,0.810632
22.0,22,0.812631
39.0,39,0.813631
18.0,18,0.820631
10.0,10,0.822137
20.0,20,0.822137
26.0,26,0.824143
23.0,23,0.825142
16.0,16,0.826143
25.0,25,0.833145
13.0,13,0.839144
15.0,15,0.839144
14.0,14,0.839144
15.0,15,0.848145
17.0,17,0.856144
17.0,17,0.856144
38.0,38,0.857144
12.0,12,0.859145
61.0,61,0.863144
10.0,10,0.866144
30.0,30,0.868145
19.0,19,0.874145
11.0,11,0.877144
15.0,15,0.878145
59.0,59,0.879144
60.0,60,0.880144
26.0,26,0.881144
23.0,23,0.882145
16.0,16,0.884143
10.0,10,0.889144
14.0,14,0.892143
16.0,16,0.896143
19.0,19,0.898143
17.0,17,0.898143
26.0,26,0.899143
17.0,17,0.905143
24.0,24,0.909146
14.0,14,0.912146
35.0,35,0.913146
17.0,17,0.916146
24.0,24,0.916146
10.0,10,0.920146
23.0,23,0.921146
24.0,24,0.923291
13.0,13,0.924293
20.0,20,0.925292
14.0,14,0.928292
12.0,12,0.930292
9.0,9,0.931292
19.0,19,0.932293
20.0,20,0.938291
19.0,19,0.94829
27.0,27,0.94929
15.0,15,0.953292
33.0,33,0.953292
24.0,24,0.955292
53.0,53,0.957292
33.0,33,0.959291
15.0,15,0.967291
21.0,21,0.968291
21.0,21,0.973289
28.0,28,0.976289
25.0,25,0.981289
29.0,29,0.98329
16.0,16,0.98329
15.0,15,0.98329
55.0,55,0.98429
14.0,14,0.987289
9.0,9,0.990292
34.0,34,0.992292
11.0,11,0.994292
24.0,24,1.000291
11.0,11,1.000291
12.0,12,1.005292
26.0,26,1.008294
23.0,23,1.009294
31.0,31,1.013294
14.0,14,1.015296
16.0,16,1.016295
25.0,25,1.019298
10.0,10,1.021295
14.0,14,1.022299
37.0,37,1.02334
13.0,13,1.026341
11.0,11,1.029342
16.0,16,1.035341
12.0,12,1.035341
15.0,15,1.037342
18.0,18,1.03834
18.0,18,1.045341
12.0,12,1.050339
25.0,25,1.050339
25.0,25,1.054339
39.0,39,1.056339
13.0,13,1.056339
22.0,22,1.056339
25.0,25,1.059339
12.0,12,1.060339
24.0,24,1.061339
17.0,17,1.064339
11.0,11,1.066342
15.0,15,1.067342
14.0,14,1.068342
19.0,19,1.077342
14.0,14,1.079342
24.0,24,1.081342
20.0,20,1.083342
17.0,17,1.083342
15.0,15,1.091342
12.0,12,1.092342
39.0,39,1.094342
15.0,15,1.094342
20.0,20,1.098342
47.0,47,1.098342
30.0,30,1.106341
21.0,21,1.115351
20.0,20,1.115351
18.0,18,1.117352
52.0,52,1.120349
22.0,22,1.122855
22.0,22,1.130861
17.0,17,1.13186
26.0,26,1.13486
12.0,12,1.13486
14.0,14,1.141861
23.0,23,1.147866
12.0,12,1.147866
25.0,25,1.149864
14.0,14,1.150864
22.0,22,1.153866
14.0,14,1.155866
30.0,30,1.159863
27.0,27,1.160861
14.0,14,1.162863
13.0,13,1.16786
17.0,17,1.16786
14.0,14,1.173863
19.0,19,1.175862
26.0,26,1.175862
9.0,9,1.176863
18.0,18,1.180862
12.0,12,1.185863
38.0,38,1.186863
12.0,12,1.187862
32.0,32,1.19286
22.0,22,1.19786
13.0,13,1.19986
17.0,17,1.20186
22.0,22,1.20186
11.0,11,1.20286
27.0,27,1.20286
23.0,23,1.207864
13.0,13,1.208864
44.0,44,1.209864
15.0,15,1.215867
20.0,20,1.217869
14.0,14,1.222372
26.0,26,1.224379
28.0,28,1.226379
17.0,17,1.230379
19.0,19,1.233379
15.0,15,1.239378
36.0,36,1.24238
38.0,38,1.24338
19.0,19,1.245379
13.0,13,1.24838
50.0,50,1.24938
19.0,19,1.250379
14.0,14,1.25338
11.0,11,1.25438
42.0,42,1.26138
13.0,13,1.26438
16.0,16,1.265379
29.0,29,1.270376
12.0,12,1.271377
28.0,28,1.272376
38.0,38,1.276376
32.0,32,1.278377
37.0,37,1.280376
14.0,14,1.284378
22.0,22,1.286376
12.0,12,1.287376
20.0,20,1.288376
19.0,19,1.29038
21.0,21,1.297379
11.0,11,1.297379
21.0,21,1.300377
14.0,14,1.302377
23.0,23,1.306376
25.0,25,1.31038
13.0,13,1.313383
15.0,15,1.317383
20.0,20,1.317383
59.0,59,1.320383
25.0,25,1.322383
11.0,11,1.323899
22.0,22,1.327899
39.0,39,1.328899
12.0,12,1.333899
20.0,20,1.339898
17.0,17,1.340898
33.0,33,1.342898
27.0,27,1.343898
25.0,25,1.354896
26.0,26,1.354896
13.0,13,1.354896
21.0,21,1.355897
16.0,16,1.358898
11.0,11,1.362895
12.0,12,1.363898
26.0,26,1.363898
25.0,25,1.366898
20.0,20,1.374898
28.0,28,1.377897
17.0,17,1.377897
20.0,20,1.379895
17.0,17,1.380895
35.0,35,1.382895
77.0,77,1.386895
12.0,12,1.387895
12.0,12,1.389895
32.0,32,1.389895
20.0,20,1.394897
19.0,19,1.396896
13.0,13,1.399896
12.0,12,1.400896
27.0,27,1.406899
19.0,19,1.407907
24.0,24,1.408906
10.0,10,1.408906
42.0,42,1.411905
16.0,16,1.411905
23.0,23,1.415903
12.0,12,1.419903
22.0,22,1.420903
16.0,16,1.425412
18.0,18,1.427412
29.0,29,1.432413
14.0,14,1.438413
27.0,27,1.443413
29.0,29,1.443413
18.0,18,1.447412
14.0,14,1.450413
42.0,42,1.451411
11.0,11,1.452413
53.0,53,1.452413
15.0,15,1.456413
13.0,13,1.460413
12.0,12,1.463413
45.0,45,1.466412
66.0,66,1.468412
19.0,19,1.472413
20.0,20,1.472413
11.0,11,1.481412
26.0,26,1.482412
34.0,34,1.486412
23.0,23,1.487412
9.0,9,1.49141
27.0,27,1.49241
27.0,27,1.49641
42.0,42,1.49941
18.0,18,1.50341
24.0,24,1.50441
19.0,19,1.50541
50.0,50,1.510413
14.0,14,1.510413
12.0,12,1.515413
11.0,11,1.515413
37.0,37,1.524926
20.0,20,1.526924
31.0,31,1.526924
21.0,21,1.532924
45.0,45,1.532924
31.0,31,1.536923
12.0,12,1.537924
12.0,12,1.544924
13.0,13,1.545924
38.0,38,1.548924
28.0,28,1.549924
15.0,15,1.551924
54.0,54,1.551924
32.0,32,1.556923
15.0,15,1.564923
23.0,23,1.564923
15.0,15,1.564923
14.0,14,1.570925
42.0,42,1.577925
29.0,29,1.577925
13.0,13,1.579924
31.0,31,1.580925
15.0,15,1.581925
17.0,17,1.586927
11.0,11,1.589927
15.0,15,1.592923
19.0,19,1.593926
18.0,18,1.596928
13.0,13,1.597925
32.0,32,1.605925
11.0,11,1.606925
17.0,17,1.607934
17.0,17,1.609933
13.0,13,1.609933
47.0,47,1.609933
10.0,10,1.619929
33.0,33,1.619929
20.0,20,1.625436
86.0,86,1.625436
22.0,22,1.626436
11.0,11,1.629436
18.0,18,1.636438
29.0,29,1.636438
35.0,35,1.639437
39.0,39,1.644438
19.0,19,1.645437
15.0,15,1.649438
18.0,18,1.652439
35.0,35,1.657439
37.0,37,1.659437
17.0,17,1.661438
14.0,14,1.666437
45.0,45,1.668438
19.0,19,1.668438
12.0,12,1.669438
33.0,33,1.671437
26.0,26,1.671437
13.0,13,1.672439
13.0,13,1.680436
11.0,11,1.684436
17.0,17,1.685436
17.0,17,1.686436
19.0,19,1.690436
23.0,23,1.693436
26.0,26,1.693436
11.0,11,1.695439
35.0,35,1.695439
25.0,25,1.701438
22.0,22,1.702439
16.0,16,1.708439
22.0,22,1.708439
11.0,11,1.711439
22.0,22,1.713439
24.0,24,1.713439
20.0,20,1.718441
14.0,14,1.720441
14.0,14,1.723951
37.0,37,1.723951
14.0,14,1.724951
51.0,51,1.72895
24.0,24,1.73395
15.0,15,1.73595
21.0,21,1.73595
15.0,15,1.73695
11.0,11,1.73895
20.0,20,1.742953
27.0,27,1.743953
12.0,12,1.747953
12.0,12,1.748953
48.0,48,1.750953
19.0,19,1.751953
19.0,19,1.754953
21.0,21,1.758954
14.0,14,1.760954
19.0,19,1.761954
11.0,11,1.771954
23.0,23,1.772954
14.0,14,1.772954
36.0,36,1.777953
32.0,32,1.779953
12.0,12,1.783953
30.0,30,1.783953
12.0,12,1.784953
35.0,35,1.79795
15.0,15,1.79895
49.0,49,1.79995
15.0,15,1.79995
12.0,12,1.809953
15.0,15,1.810953
41.0,41,1.812953
30.0,30,1.812953
21.0,21,1.818956
25.0,25,1.822459
15.0,15,1.823466
18.0,18,1.826467
10.0,10,1.827467
53.0,53,1.829466
56.0,56,1.830467
22.0,22,1.831466
27.0,27,1.835467
19.0,19,1.838464
19.0,19,1.843467
27.0,27,1.846466
23.0,23,1.846466
13.0,13,1.847467
24.0,24,1.851466
12.0,12,1.856465
32.0,32,1.856465
28.0,28,1.861466
18.0,18,1.861466
44.0,44,1.866467
29.0,29,1.870466
32.0,32,1.870466
24.0,24,1.872467
20.0,20,1.873467
12.0,12,1.877467
13.0,13,1.882467
15.0,15,1.884467
14.0,14,1.885466
34.0,34,1.886465
29.0,29,1.888465
10.0,10,1.892465
25.0,25,1.897467
13.0,13,1.897467
40.0,40,1.899465
15.0,15,1.904464
21.0,21,1.907464
11.0,11,1.910467
20.0,20,1.912467
19.0,19,1.915467
10.0,10,1.916469
41.0,41,1.917467
25.0,25,1.926974
43.0,43,1.926974
19.0,19,1.929974
16.0,16,1.931978
15.0,15,1.931978
24.0,24,1.932978
20.0,20,1.934978
40.0,40,1.935978
10.0,10,1.942978
17.0,17,1.943978
16.0,16,1.945978
16.0,16,1.947975
16.0,16,1.947975
26.0,26,1.951975
11.0,11,1.952975
14.0,14,1.956976
12.0,12,1.956976
28.0,28,1.959975
12.0,12,1.961976
15.0,15,1.962975
25.0,25,1.962975
23.0,23,1.96598
13.0,13,1.967977
8.0,8,1.968978
14.0,14,1.97198
9.0,9,1.975977
13.0,13,1.977977
24.0,24,1.977977
13.0,13,1.981976
55.0,55,1.982975
11.0,11,1.985976
16.0,16,1.986975
18.0,18,1.994976
8.0,8,1.994976
13.0,13,1.995975
38.0,38,1.997977
13.0,13,1.997977
28.0,28,2.002976
50.0,50,2.006977
16.0,16,2.007983
32.0,32,2.008983
14.0,14,2.008983
16.0,16,2.009983
25.0,25,2.016984
12.0,12,2.020983
33.0,33,2.0245
16.0,16,2.0255
23.0,23,2.0295
12.0,12,2.031502
22.0,22,2.032502
33.0,33,2.033499
11.0,11,2.0345
27.0,27,2.0345
19.0,19,2.041502
20.0,20,2.0505
20.0,20,2.051501
20.0,20,2.052501
17.0,17,2.057501
12.0,12,2.0615
56.0,56,2.0665
16.0,16,2.071501
12.0,12,2.071501
49.0,49,2.072501
25.0,25,2.073499
52.0,52,2.079499
19.0,19,2.084497
19.0,19,2.088498
13.0,13,2.096503
24.0,24,2.096503
49.0,49,2.096503
77.0,77,2.100502
34.0,34,2.104501
11.0,11,2.106501
12.0,12,2.106501
13.0,13,2.108507
42.0,42,2.110508
14.0,14,2.114507
11.0,11,2.115506
42.0,42,2.11851
13.0,13,2.11951
35.0,35,2.12151
15.0,15,2.126024
22.0,22,2.129023
21.0,21,2.129023
18.0,18,2.133024
13.0,13,2.133024
13.0,13,2.134023
18.0,18,2.136024
8.0,8,2.136024
11.0,11,2.143024
30.0,30,2.143024
13.0,13,2.145023
18.0,18,2.146024
14.0,14,2.149023
17.0,17,2.152024
11.0,11,2.153024
22.0,22,2.155023
40.0,40,2.163022
14.0,14,2.163022
11.0,11,2.163022
30.0,30,2.17202
33.0,33,2.176022
22.0,22,2.176022
29.0,29,2.180022
17.0,17,2.186022
16.0,16,2.190022
48.0,48,2.190022
33.0,33,2.193022
35.0,35,2.195023
22.0,22,2.196023
17.0,17,2.202022
44.0,44,2.203021
16.0,16,2.205021
18.0,18,2.211024
11.0,11,2.212023
22.0,22,2.212023
37.0,37,2.213024
14.0,14,2.217024
34.0,34,2.220027
16.0,16,2.227539
21.0,21,2.23154
35.0,35,2.235538
24.0,24,2.23654
16.0,16,2.23754
10.0,10,2.239539
25.0,25,2.241539
53.0,53,2.244539
10.0,10,2.246539
14.0,14,2.246539
20.0,20,2.249539
46.0,46,2.252537
11.0,11,2.253536
21.0,21,2.254541
16.0,16,2.254541
11.0,11,8.189639
22.0,22,8.19264
19.0,19,8.19364
30.0,30,8.19964
24.0,24,8.20264
50.0,50,8.20564
15.0,15,8.20564
14.0,14,8.212647
28.0,28,8.214647
41.0,41,8.218647
16.0,16,8.230155
23.0,23,8.235155
37.0,37,8.237155
33.0,33,8.237155
65.0,65,8.240155
31.0,31,8.246158
66.0,66,8.254158
28.0,28,8.254158
22.0,22,8.256157
58.0,58,8.259157
37.0,37,8.268158
15.0,15,8.26916
17.0,17,8.272158
34.0,34,8.278156
28.0,28,8.280159
28.0,28,8.287153
23.0,23,8.294153
17.0,17,8.295153
16.0,16,8.299153
40.0,40,8.304155
45.0,45,8.310161
37.0,37,8.312159
18.0,18,8.312159
11.0,11,8.315159
86.0,86,8.318159
91.0,91,8.320159
23.0,23,8.321159
33.0,33,8.324671
13.0,13,8.326671
25.0,25,8.342669
27.0,27,8.342669
25.0,25,8.34367
28.0,28,8.348671
38.0,38,8.35967
23.0,23,8.361669
58.0,58,8.362669
23.0,23,8.362669
62.0,62,8.364671
13.0,13,8.373671
19.0,19,8.379672
22.0,22,8.382671
18.0,18,8.388669
92.0,92,8.392669
19.0,19,8.399671
59.0,59,8.400671
46.0,46,8.400671
31.0,31,8.406671
17.0,17,8.40767
50.0,50,8.40867
24.0,24,8.409676
88.0,88,8.419677
10.0,10,8.428735
37.0,37,8.432733
36.0,36,8.432733
36.0,36,8.432733
26.0,26,8.434731
33.0,33,8.436731
10.0,10,8.437734
15.0,15,8.446731
43.0,43,8.446731
15.0,15,8.447731
65.0,65,8.467731
33.0,33,8.475731
48.0,48,8.475731
38.0,38,8.482731
39.0,39,8.482731
21.0,21,8.496731
69.0,69,8.501731
20.0,20,8.502731
23.0,23,8.505732
14.0,14,8.512735
54.0,54,8.520736
25.0,25,8.526246
100.0,100,8.526246
19.0,19,8.528246
57.0,57,8.531246
104.0,104,8.535247
32.0,32,8.535247
26.0,26,8.548244
33.0,33,8.548244
16.0,16,8.548244
24.0,24,8.551244
58.0,58,8.553244
32.0,32,8.555248
12.0,12,8.558244
43.0,43,8.562244
15.0,15,8.566244
24.0,24,8.568244
40.0,40,8.583247
54.0,54,8.600244
51.0,51,8.607244
39.0,39,8.607244
45.0,45,8.609247
53.0,53,8.612247
15.0,15,8.614248
70.0,70,8.621247
41.0,41,8.62375
26.0,26,8.631754
16.0,16,8.633754
27.0,27,8.635756
117.0,117,8.638757
29.0,29,8.638757
46.0,46,8.645757
16.0,16,8.652754
32.0,32,8.660754
36.0,36,8.662754
18.0,18,8.668754
58.0,58,8.672754
33.0,33,8.675754
