#{"t_start": 1707942103.8006618, "env_id": "None"}
r,l,t
64.0,64,2.331821
56.0,56,2.416874
50.0,50,2.491876
11.0,11,2.507991
19.0,19,2.536991
13.0,13,2.555991
35.0,35,2.609193
21.0,21,2.640193
12.0,12,2.658193
16.0,16,2.682192
28.0,28,2.724255
30.0,30,2.769255
16.0,16,2.793257
17.0,17,2.819292
28.0,28,2.861293
56.0,56,2.9445
13.0,13,2.9645
10.0,10,2.9795
21.0,21,3.011609
18.0,18,3.038609
13.0,13,3.057608
29.0,29,3.10061
14.0,14,3.121641
22.0,22,3.15464
13.0,13,3.174641
16.0,16,3.197644
28.0,28,3.240818
32.0,32,3.288819
40.0,40,3.348919
46.0,46,3.417956
20.0,20,3.447955
17.0,17,3.472955
11.0,11,3.489958
51.0,51,3.567015
10.0,10,3.582014
23.0,23,3.617091
39.0,39,3.675091
20.0,20,3.705122
15.0,15,3.728122
32.0,32,3.776121
16.0,16,3.800125
21.0,21,3.831192
40.0,40,3.891196
12.0,12,3.909218
12.0,12,3.927218
27.0,27,3.968217
13.0,13,3.987218
17.0,17,4.012239
18.0,18,4.03924
27.0,27,4.080239
22.0,22,4.112493
15.0,15,4.135494
20.0,20,4.165493
37.0,37,4.22056
10.0,10,4.23556
21.0,21,4.26656
13.0,13,4.286561
34.0,34,4.337612
22.0,22,4.370614
20.0,20,4.399616
15.0,15,4.422691
55.0,55,4.503695
21.0,21,4.535748
11.0,11,4.551748
14.0,14,4.572748
15.0,15,4.595753
24.0,24,4.630771
28.0,28,4.67277
58.0,58,4.759837
14.0,14,4.780838
21.0,21,4.811868
75.0,75,4.923978
20.0,20,4.953977
15.0,15,4.976978
26.0,26,5.015045
17.0,17,5.040045
17.0,17,5.066046
19.0,19,5.094049
14.0,14,5.115065
9.0,9,5.128067
19.0,19,5.157066
11.0,11,5.173065
13.0,13,5.193069
43.0,43,5.25713
10.0,10,5.27213
11.0,11,5.289129
34.0,34,6.668031
39.0,39,6.727062
19.0,19,6.755061
12.0,12,6.773062
14.0,14,6.794065
42.0,42,6.857114
23.0,23,6.892117
19.0,19,6.920235
11.0,11,6.937236
17.0,17,6.962236
21.0,21,6.99424
17.0,17,7.019376
29.0,29,7.062374
27.0,27,7.103376
19.0,19,7.131401
18.0,18,7.159401
12.0,12,7.177401
59.0,59,7.265427
22.0,22,7.29843
16.0,16,7.321465
18.0,18,7.349465
20.0,20,7.379466
40.0,40,7.438526
17.0,17,7.464526
73.0,73,7.573591
20.0,20,7.603594
29.0,29,7.647642
21.0,21,7.678642
15.0,15,7.701645
32.0,32,7.749681
23.0,23,7.78768
17.0,17,7.815943
65.0,65,7.921967
24.0,24,7.961968
25.0,25,8.00197
21.0,21,8.036003
26.0,26,8.079003
20.0,20,8.112028
18.0,18,8.141028
18.0,18,8.170029
48.0,48,8.248088
26.0,26,8.291089
40.0,40,8.356103
32.0,32,8.407107
28.0,28,8.452186
42.0,42,8.520462
26.0,26,8.562462
21.0,21,8.596466
30.0,30,8.644649
18.0,18,8.67365
21.0,21,8.707654
34.0,34,8.762667
20.0,20,8.79467
62.0,62,8.894741
10.0,10,8.910996
41.0,41,8.976995
18.0,18,9.005998
36.0,36,9.064038
33.0,33,9.117244
26.0,26,9.159245
25.0,25,9.200249
21.0,21,9.234329
28.0,28,9.279328
14.0,14,9.302332
16.0,16,9.32956
15.0,15,9.35456
17.0,17,9.381559
23.0,23,9.419852
11.0,11,9.437852
21.0,21,9.471852
20.0,20,9.505857
19.0,19,9.537894
19.0,19,9.569893
16.0,16,9.596897
23.0,23,9.635946
18.0,18,9.666946
16.0,16,9.693946
16.0,16,9.720995
15.0,15,9.745996
34.0,34,9.803999
26.0,26,9.848037
29.0,29,32.255064
55.0,55,32.350092
16.0,16,32.378093
41.0,41,32.448135
29.0,29,32.498134
38.0,38,32.563219
30.0,30,32.615223
19.0,19,32.647283
41.0,41,32.718287
24.0,24,32.759336
36.0,36,32.821339
47.0,47,32.902443
84.0,84,33.046803
19.0,19,33.079804
76.0,76,33.20984
35.0,35,33.270857
30.0,30,33.321861
27.0,27,33.368921
35.0,35,33.429003
17.0,17,33.458004
29.0,29,33.508003
27.0,27,33.555035
46.0,46,33.634063
