#{"t_start": 1707942101.3908827, "env_id": "None"}
r,l,t
15.0,15,23.5679
30.0,30,23.618903
12.0,12,23.639929
57.0,57,23.736956
18.0,18,23.767956
19.0,19,23.800956
18.0,18,23.830998
25.0,25,23.873998
17.0,17,23.902997
31.0,31,23.957051
14.0,14,23.980051
26.0,26,24.025055
38.0,38,24.090151
31.0,31,24.143201
22.0,22,24.1812
18.0,18,24.2112
25.0,25,24.255233
12.0,12,24.275232
13.0,13,24.297232
39.0,39,24.364297
14.0,14,24.388296
14.0,14,24.412297
40.0,40,24.481336
17.0,17,24.510335
34.0,34,24.568382
43.0,43,24.642478
13.0,13,24.664478
24.0,24,24.705478
25.0,25,24.74852
58.0,58,24.848563
13.0,13,24.870564
24.0,24,24.912564
19.0,19,24.944581
13.0,13,24.967581
32.0,32,25.022584
13.0,13,25.044649
18.0,18,25.075649
19.0,19,25.107649
10.0,10,25.124653
14.0,14,25.148736
25.0,25,25.191736
33.0,33,25.247777
11.0,11,25.266778
18.0,18,25.297778
18.0,18,25.32778
9.0,9,25.342808
34.0,34,25.400808
13.0,13,25.423812
17.0,17,25.45284
15.0,15,25.477839
17.0,17,25.50784
24.0,24,25.547879
27.0,27,25.593878
20.0,20,25.627883
20.0,20,25.661987
14.0,14,25.686988
19.0,19,25.718991
40.0,40,25.787046
55.0,55,25.881102
10.0,10,25.899101
19.0,19,25.931183
11.0,11,25.950184
47.0,47,26.030274
40.0,40,26.098273
54.0,54,26.191309
23.0,23,26.230358
37.0,37,26.293357
25.0,25,26.336529
12.0,12,26.35653
22.0,22,26.39453
36.0,36,26.455585
64.0,64,26.565681
53.0,53,26.656841
21.0,21,26.691841
79.0,79,26.826898
13.0,13,26.848952
10.0,10,26.866953
16.0,16,26.893952
13.0,13,26.915958
10.0,10,26.933063
19.0,19,26.966063
29.0,29,27.016067
12.0,12,27.036084
20.0,20,29.093413
34.0,34,29.151508
21.0,21,29.18751
14.0,14,29.211509
22.0,22,29.249529
58.0,58,29.349594
28.0,28,29.398594
16.0,16,29.425597
40.0,40,29.494646
32.0,32,29.550684
15.0,15,29.575683
20.0,20,29.610684
88.0,88,29.761819
14.0,14,29.785818
12.0,12,29.806819
56.0,56,29.902051
21.0,21,29.938105
49.0,49,30.023108
23.0,23,30.063122
26.0,26,30.107122
11.0,11,30.126125
46.0,46,30.205259
16.0,16,30.232324
41.0,41,30.302324
31.0,31,30.3564
16.0,16,30.383399
23.0,23,30.423403
45.0,45,30.500415
12.0,12,30.521417
35.0,35,30.581452
13.0,13,30.604452
25.0,25,30.647508
27.0,27,30.693508
12.0,12,30.713508
18.0,18,30.74472
31.0,31,30.797719
36.0,36,30.859742
80.0,80,30.995803
34.0,34,31.054904
35.0,35,31.114905
23.0,23,31.154932
100.0,100,31.325969
33.0,33,31.38307
16.0,16,31.41007
41.0,41,31.481107
13.0,13,31.503106
17.0,17,31.532109
65.0,65,31.644179
23.0,23,31.684179
39.0,39,31.752263
40.0,40,31.820267
18.0,18,31.851314
18.0,18,31.882314
42.0,42,31.95465
39.0,39,32.021652
27.0,27,32.06816
19.0,19,32.10116
16.0,16,32.128163
16.0,16,32.156238
13.0,13,32.178238
14.0,14,32.202239
17.0,17,32.232242
22.0,22,32.269387
15.0,15,32.295388
25.0,25,32.337472
16.0,16,32.365472
14.0,14,32.389472
35.0,35,32.449581
16.0,16,32.47758
50.0,50,32.562629
13.0,13,32.584629
60.0,60,54.379519
20.0,20,54.417521
30.0,30,54.468592
22.0,22,54.506592
40.0,40,54.575608
108.0,108,54.761806
57.0,57,54.859844
19.0,19,54.892845
41.0,41,54.963937
28.0,28,55.011937
44.0,44,55.087034
14.0,14,55.111033
14.0,14,55.135037
29.0,29,55.185252
30.0,30,55.236255
50.0,50,55.323288
17.0,17,55.352322
49.0,49,55.436326
12.0,12,55.456351
31.0,31,55.51035
27.0,27,55.557427
28.0,28,55.605427
37.0,37,55.668447
24.0,24,55.710446
17.0,17,55.73945
24.0,24,55.78149
17.0,17,55.810489
68.0,68,55.927536
31.0,31,55.980611
38.0,38,56.045616
38.0,38,56.111706
90.0,90,56.267044
58.0,58,56.367079
24.0,24,56.408079
48.0,48,56.491153
62.0,62,56.5972
21.0,21,56.634201
49.0,49,56.718271
36.0,36,56.783334
64.0,64,56.894388
42.0,42,56.966449
34.0,34,57.025449
30.0,30,57.077478
48.0,48,57.159569
43.0,43,57.234568
21.0,21,57.270623
64.0,64,57.380651
49.0,49,57.464685
18.0,18,57.495685
34.0,34,57.554757
19.0,19,57.587758
18.0,18,57.618759
