#{"t_start": 1707942098.963545, "env_id": "None"}
r,l,t
39.0,39,16.214643
32.0,32,16.268684
20.0,20,16.302684
9.0,9,16.318684
37.0,37,16.380719
16.0,16,16.408718
12.0,12,16.428718
26.0,26,16.472775
13.0,13,16.494775
10.0,10,16.511775
38.0,38,16.576819
13.0,13,16.59882
10.0,10,16.615821
58.0,58,16.71384
13.0,13,16.735843
36.0,36,16.797876
18.0,18,16.828875
14.0,14,16.853153
25.0,25,16.895152
23.0,23,16.935156
41.0,41,17.005534
18.0,18,17.036546
81.0,81,17.17509
12.0,12,17.19609
60.0,60,17.298144
17.0,17,17.327144
24.0,24,17.368222
40.0,40,17.436225
12.0,12,17.456328
15.0,15,17.482327
32.0,32,17.537331
17.0,17,17.565386
19.0,19,17.598387
17.0,17,17.627387
25.0,25,17.669424
17.0,17,17.698424
12.0,12,17.719423
12.0,12,17.739426
31.0,31,17.792674
12.0,12,17.812673
42.0,42,17.883786
21.0,21,17.919788
40.0,40,17.987902
32.0,32,18.041904
31.0,31,18.095951
20.0,20,18.129951
31.0,31,18.183003
12.0,12,18.204004
18.0,18,18.234004
64.0,64,18.344045
32.0,32,18.398099
12.0,12,18.4191
18.0,18,18.450147
16.0,16,18.477146
20.0,20,18.511147
13.0,13,18.533147
15.0,15,18.559171
9.0,9,18.57417
22.0,22,18.61217
16.0,16,18.639173
10.0,10,18.657207
39.0,39,18.723207
11.0,11,18.74221
13.0,13,18.76427
37.0,37,18.82727
33.0,33,18.884386
11.0,11,18.903387
16.0,16,18.930386
12.0,12,18.950422
12.0,12,18.970423
66.0,66,19.08364
12.0,12,19.10364
17.0,17,19.132639
58.0,58,19.23184
24.0,24,19.272931
16.0,16,19.29993
10.0,10,19.316931
28.0,28,19.365997
52.0,52,19.455029
13.0,13,19.477028
20.0,20,19.511028
22.0,22,19.549031
15.0,15,19.574077
14.0,14,19.598077
20.0,20,19.632076
25.0,25,21.092899
14.0,14,21.118898
11.0,11,21.136901
23.0,23,21.177926
51.0,51,21.264968
16.0,16,21.291968
40.0,40,21.360992
58.0,58,21.460007
34.0,34,21.518006
85.0,85,21.663061
16.0,16,21.69006
16.0,16,21.71806
11.0,11,21.738064
31.0,31,21.791081
17.0,17,21.821083
29.0,29,21.870123
35.0,35,21.929123
18.0,18,21.960184
15.0,15,21.986184
55.0,55,22.08222
30.0,30,22.133219
28.0,28,22.181268
51.0,51,22.2684
36.0,36,22.3294
17.0,17,22.358443
13.0,13,22.381444
11.0,11,22.399444
17.0,17,22.428443
23.0,23,22.467716
43.0,43,22.54172
18.0,18,22.571782
20.0,20,22.605782
25.0,25,22.648787
23.0,23,22.687875
30.0,30,22.738876
11.0,11,22.757915
15.0,15,22.782915
12.0,12,22.803916
14.0,14,22.826915
16.0,16,22.854991
31.0,31,22.90799
17.0,17,22.93699
26.0,26,22.982013
10.0,10,22.999013
32.0,32,23.054051
23.0,23,23.093051
13.0,13,23.115051
8.0,8,23.128051
15.0,15,23.154091
31.0,31,23.207092
27.0,27,23.252095
17.0,17,23.281118
70.0,70,23.400214
47.0,47,23.480241
21.0,21,23.515241
42.0,42,23.587295
66.0,66,23.699343
14.0,14,23.723342
20.0,20,23.757386
58.0,58,23.856426
41.0,41,23.925426
32.0,32,23.980489
40.0,40,24.048493
25.0,25,24.091511
25.0,25,24.133512
23.0,23,24.172572
10.0,10,24.189573
14.0,14,24.213572
14.0,14,24.237572
13.0,13,24.259594
31.0,31,24.312593
24.0,24,24.353633
48.0,48,24.434633
41.0,41,24.504683
22.0,22,24.542686
32.0,32,46.95189
35.0,35,47.010942
30.0,30,47.061945
40.0,40,47.129987
23.0,23,47.169274
25.0,25,47.212274
31.0,31,47.265279
33.0,33,47.321308
31.0,31,47.374448
10.0,10,47.391448
19.0,19,47.424448
25.0,25,47.466452
42.0,42,47.538599
23.0,23,47.577646
85.0,85,47.722769
15.0,15,47.74777
20.0,20,47.78181
113.0,113,47.974028
43.0,43,48.048029
26.0,26,48.09208
24.0,24,48.133081
193.0,193,48.46123
29.0,29,48.510241
17.0,17,48.53924
54.0,54,48.631284
67.0,67,48.745385
25.0,25,48.787591
54.0,54,48.879684
83.0,83,49.020808
100.0,100,49.191111
85.0,85,49.336374
41.0,41,49.406402
85.0,85,49.551512
38.0,38,49.615559
47.0,47,49.695817
27.0,27,49.741817
41.0,41,49.811838
75.0,75,49.938898
36.0,36,50.000001
39.0,39,50.067004
16.0,16,50.09402
25.0,25,50.13602
28.0,28,50.184067
28.0,28,50.231067
53.0,53,50.321163
28.0,28,50.369166
162.0,162,52.059217
149.0,149,52.312539
145.0,145,52.559649
72.0,72,52.68269
182.0,182,52.992872
65.0,65,53.104908
46.0,46,53.184
14.0,14,53.207999
26.0,26,53.252001
59.0,59,53.353278
75.0,75,53.48148
16.0,16,53.50848
31.0,31,53.561482
73.0,73,53.686583
23.0,23,53.725582
30.0,30,53.776632
51.0,51,53.863636
30.0,30,53.914672
82.0,82,54.054739
27.0,27,54.100786
37.0,37,54.16479
87.0,87,54.313075
58.0,58,54.412154
93.0,93,54.57121
21.0,21,54.607226
47.0,47,54.687256
28.0,28,54.73526
87.0,87,54.88338
54.0,54,54.975419
146.0,146,55.224548
23.0,23,55.263553
29.0,29,77.745717
101.0,101,77.91795
105.0,105,78.096998
118.0,118,78.297134
93.0,93,78.456179
38.0,38,78.520217
86.0,86,78.6663
192.0,192,78.993687
48.0,48,79.075686
51.0,51,79.162736
65.0,65,79.274769
128.0,128,79.494864
125.0,125,79.707935
48.0,48,79.790939
145.0,145,80.038022
123.0,123,80.254287
63.0,63,80.362317
108.0,108,80.548501
157.0,157,80.816665
121.0,121,81.023767
222.0,222,82.838089
146.0,146,83.087251
146.0,146,83.335397
300.0,300,83.847737
230.0,230,84.240212
184.0,184,84.55542
138.0,138,84.789517
114.0,114,84.98465
159.0,159,85.255769
230.0,230,85.648074
143.0,143,85.89214
256.0,256,108.929996
341.0,341,109.515266
156.0,156,109.780334
92.0,92,109.937449
217.0,217,110.306788
258.0,258,110.746017
164.0,164,111.025169
231.0,231,111.417368
220.0,220,111.790532
184.0,184,113.51305
337.0,337,114.086583
76.0,76,114.216283
202.0,202,114.560049
295.0,295,115.062507
426.0,426,115.787804
190.0,190,116.112024
222.0,222,116.490211
465.0,465,140.045946
325.0,325,140.60021
294.0,294,141.108456
364.0,364,141.735897
269.0,269,142.199175
371.0,371,144.24336
500.0,500,145.095203
500.0,500,145.950963
380.0,380,146.598433
208.0,208,146.95365
333.0,333,147.520247
500.0,500,170.86446
500.0,500,171.71893
500.0,500,172.572353
500.0,500,173.427965
500.0,500,175.69845
500.0,500,176.551851
500.0,500,177.407295
500.0,500,178.257744
500.0,500,201.664181
500.0,500,202.525087
500.0,500,203.380821
500.0,500,204.234392
500.0,500,206.503457
500.0,500,207.358958
500.0,500,208.212475
500.0,500,209.066154
500.0,500,232.436496
500.0,500,233.289092
500.0,500,234.139526
500.0,500,234.988998
500.0,500,237.250346
500.0,500,238.103239
500.0,500,238.953991
500.0,500,239.806644
