#{"t_start": 1706296586.9475803, "env_id": "None"}
r,l,t
-117.28229,58,0.243029
-105.28481,63,0.261029
-111.47829,66,0.273041
-101.328804,83,0.331556
-108.46329,85,0.340554
-99.862976,89,0.357554
-101.662155,56,0.432073
-103.14306,62,0.526599
-113.382034,87,0.542599
-115.913185,123,0.660117
-115.93204,55,0.706638
-120.70076,122,0.73064
-116.67535,69,0.744638
-106.855934,57,0.899685
-99.17874,81,0.909685
-103.80124,113,1.059201
-111.91653,81,1.246253
-108.93448,72,1.417294
-146.84398,474,1.881895
-117.99038,77,2.066417
-119.76415,1600,4.078748
-115.04338,1600,4.078748
-100.3509,67,4.239776
-118.765816,83,4.279783
-124.673355,1600,4.287295
-113.67037,1600,4.362295
-100.79439,61,4.440327
-102.42012,62,4.449327
-104.83134,99,4.670367
-100.776505,103,4.687878
-117.77904,1600,4.730878
-106.84149,1600,4.743878
-118.06309,1600,22.742464
-123.730095,279,22.8845
-132.14081,323,22.944505
-137.17839,362,23.083036
-110.19638,104,23.316578
-77.3709,1600,23.366579
-147.31169,646,23.378589
-40.46871,1600,25.411038
-20.929468,1600,25.823639
-24.196157,1600,26.370244
-19.141232,1600,26.52282
-32.126842,1600,26.59034
-21.669682,1600,26.960666
-24.59687,1600,27.00818
-11.752769,1600,27.02318
7.7350006,1600,46.565093
20.348871,1600,46.955956
30.170233,1600,47.496367
17.104572,1600,47.657451
12.65101,1600,47.716969
-116.20141,64,47.867481
27.121891,1600,48.099822
12.810976,1600,48.146822
23.574245,1600,48.157824
-106.89476,78,48.28706
28.259329,1600,67.833944
-108.75148,53,67.94815
44.155197,1600,68.216879
46.04539,1600,68.735392
50.274624,1600,68.892614
39.923626,1600,69.105608
44.31317,1600,69.373647
61.621284,1600,69.385656
51.738285,1600,69.514686
51.616238,1600,71.575673
83.54503,1600,89.629406
77.27902,1600,90.153533
68.63322,1600,90.308074
72.20613,1600,90.507121
64.36241,1600,90.77368
35.209538,1600,90.785679
78.76248,1600,90.908203
133.83966,1600,92.954289
90.29909,1600,93.246995
105.674835,1600,93.797589
95.754585,1600,93.957272
70.775116,1600,94.172901
86.44026,1600,112.16917
-97.10318,120,112.174166
85.19652,1600,112.183166
109.19371,1600,112.305705
-115.78696,122,112.451743
120.71596,1600,114.313629
113.019806,1600,114.595202
130.38309,1600,115.139598
131.07826,1600,115.294128
128.25931,1600,115.768275
107.90476,1600,115.779276
156.45105,1600,115.903326
129.96304,1600,116.065355
14.468285,1203,134.701756
117.60088,1600,135.862248
-71.3971,595,136.039296
41.692337,1525,136.233351
144.78542,1600,136.555926
-117.05724,155,136.593926
107.3211,1600,137.037558
139.4212,1600,137.052559
155.92892,1600,137.17608
132.57576,1600,137.325602
-25.578537,756,138.312081
157.6215,1600,157.260828
156.88982,1600,157.419887
164.25853,1600,157.904349
133.05156,1600,158.355612
157.40659,1600,158.367615
158.87363,1600,158.489723
-102.488754,109,158.613838
163.30502,1600,158.638894
-62.958736,438,158.882116
-103.564156,138,159.202696
-61.083042,408,159.579429
158.76054,1600,159.643504
-109.86835,148,159.981729
-78.85759,253,160.164624
157.62044,1600,160.846638
-14.955475,1081,160.966682
152.58461,1600,161.023683
-101.634636,126,161.144725
152.10205,1600,179.691614
154.81833,1600,179.931535
-94.803535,305,180.358134
162.99252,1600,180.499646
171.91142,1600,181.26324
184.15178,1600,181.440356
160.9889,1600,182.253207
158.04047,1600,182.312209
184.52289,1600,182.429729
34.569977,1296,183.458445
136.96445,1600,201.296659
160.35513,1600,201.72676
-113.0056,320,201.910817
176.31091,1600,202.6275
186.25397,1600,202.801546
153.7781,1600,203.601756
162.14673,1600,203.653766
180.8,1600,203.778804
182.58893,1600,204.909574
156.66423,1600,205.345229
183.10132,1600,205.517272
-111.90085,281,205.545281
-98.658676,164,223.684304
175.39325,1600,224.029521
186.54082,1600,224.193122
0.003074646,1202,224.262128
188.45543,1600,224.947746
176.70387,1600,225.001268
167.55548,1600,226.670875
192.4095,1600,226.874489
-100.37124,129,227.173064
