#{"t_start": 1706281260.8650422, "env_id": "None"}
r,l,t
-105.39214,52,2.367328
-112.33835,54,2.374329
-107.77754,68,2.40633
-102.69925,113,2.599384
-118.979294,106,2.621386
-133.94437,240,2.755954
-100.06149,67,2.760954
-107.64129,62,2.897478
-99.61237,86,2.948483
-137.22017,266,3.163898
-121.731064,110,3.176898
-112.471344,59,3.295428
-105.130775,79,3.327426
-109.89896,67,3.434957
-106.951775,1600,5.50221
-116.562744,1600,5.50221
-109.140465,1600,5.50221
-118.72965,1600,5.50221
-105.35392,1600,5.610739
-115.4146,59,5.624736
-116.26105,62,5.633737
-121.313835,81,5.672266
-112.24702,74,5.773792
-106.97976,53,5.778792
-126.725624,108,5.835794
-118.58742,87,5.948919
-100.3827,79,5.991999
-116.629684,82,6.115528
-118.22918,1600,6.120529
-122.13696,116,6.228056
-115.981155,64,6.250067
-102.04578,87,6.296582
-108.201866,36,6.307582
-113.41321,1600,18.661644
-127.266426,1600,18.778173
-107.26979,57,18.796177
-112.518936,61,18.932698
-98.462944,94,18.993221
-91.8204,1600,21.096025
-112.27145,1600,21.240274
-104.55902,95,21.313787
-100.927025,62,21.383301
-120.43968,1600,21.406301
-115.82787,87,21.515819
-126.633965,91,21.725575
-106.28208,1600,21.939609
-125.79432,1600,21.98913
-114.23939,1600,22.001131
-117.593025,100,22.170167
-104.06278,1600,22.52885
-127.58119,1600,22.598155
-101.358215,80,22.716178
-105.6434,119,22.978148
-109.95024,1600,37.402556
-99.29706,1600,37.428558
-122.35411,1600,37.746693
-99.50191,84,37.941731
-104.33703,1600,38.020249
-112.17486,1600,38.032248
-103.18788,73,38.116439
-107.16878,1600,38.197959
-123.46332,91,38.322477
-110.7124,41,38.418995
-109.05806,1600,38.637026
-109.31634,74,38.812716
-103.53476,73,38.984749
-112.845,1600,39.049751
-105.33424,58,39.134269
-109.631226,50,39.17179
-101.37932,1600,53.795279
-103.44611,1600,53.818278
-100.66299,1600,54.413527
-104.406395,1600,54.425527
-111.40207,56,54.546058
-112.28612,54,54.554062
-92.88007,1600,54.598586
-114.793,75,54.722694
-121.84135,1600,54.815764
-101.55476,56,54.858769
-109.27617,1600,55.490976
-99.63187,1600,55.535976
-102.82165,1600,57.431
-101.45113,1600,57.453995
-114.038994,58,57.586047
-107.21164,97,70.193975
-105.83384,1600,70.698103
-94.49477,1600,70.754102
-109.0418,56,70.835622
-105.75018,57,70.88614
-93.855644,1600,70.975147
